Dissimilarity,weight,Long,Lat,Long,Lat,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc,precip_PET_ratio,Isothermallity,Min_Temp_July,jan_rad,bulk_density,solpawhc
0.898305084745763,1,146.48125,-43.52875,145.93875,-41.56125,2.123885592,0.499,4.107,18.5,1.38581,152,2.680603508,0.466,0.411,19.55,1.11188,180
0.944827586206897,1,146.48125,-43.52875,145.93125,-41.55375,2.123885592,0.499,4.107,18.5,1.38581,152,2.740192195,0.462,0.342,19.05,1.11188,180
0.838509316770186,1,146.48125,-43.52875,146.33375,-41.55125,2.123885592,0.499,4.107,18.5,1.38581,152,1.247250206,0.509,1.688,21.51,1.38016,163
0.957219251336898,1,146.48125,-43.52875,146.00375,-41.54375,2.123885592,0.499,4.107,18.5,1.38581,152,2.41464772,0.471,0.521,19.71,1.12104,229
0.932885906040268,1,146.48125,-43.52875,148.10625,-41.52125,2.123885592,0.499,4.107,18.5,1.38581,152,1.109227091,0.486,1.325,20.77,1.1959,188
0.930232558139535,1,146.48125,-43.52875,147.10125,-41.50375,2.123885592,0.499,4.107,18.5,1.38581,152,0.658360305,0.502,1.627,23.27,1.55536,103
0.943060498220641,1,146.48125,-43.52875,147.13375,-41.46875,2.123885592,0.499,4.107,18.5,1.38581,152,0.673991763,0.5,1.834,23.22,1.60661,75
0.658536585365854,1,146.48125,-43.52875,145.21875,-41.46375,2.123885592,0.499,4.107,18.5,1.38581,152,2.018368509,0.492,3.77,19.79,1.40607,167
0.846846846846847,1,146.48125,-43.52875,147.49375,-41.46375,2.123885592,0.499,4.107,18.5,1.38581,152,0.898386145,0.505,1.207,22.58,1.1959,188
0.949367088607595,1,146.48125,-43.52875,145.68375,-41.45375,2.123885592,0.499,4.107,18.5,1.38581,152,2.125094886,0.474,1.464,20.77,1.12104,229
0.975757575757576,1,146.48125,-43.52875,147.11625,-41.44875,2.123885592,0.499,4.107,18.5,1.38581,152,0.583010134,0.498,2.189,23.53,1.6425,53
0.932885906040268,1,146.48125,-43.52875,148.25125,-41.44625,2.123885592,0.499,4.107,18.5,1.38581,152,0.667890954,0.52,3.527,21.76,1.427,151
0.946308724832215,1,146.48125,-43.52875,145.60125,-41.43625,2.123885592,0.499,4.107,18.5,1.38581,152,2.236842105,0.473,1.568,20.32,1.12104,229
0.933774834437086,1,146.48125,-43.52875,145.81125,-41.43625,2.123885592,0.499,4.107,18.5,1.38581,152,1.971621669,0.477,1.517,21.02,1.46485,135
0.62874251497006,1,146.48125,-43.52875,145.35625,-41.41625,2.123885592,0.499,4.107,18.5,1.38581,152,2.115114517,0.487,3.188,20.26,1.40607,167
0.854545454545454,1,146.48125,-43.52875,146.66625,-41.38875,2.123885592,0.499,4.107,18.5,1.38581,152,0.993951182,0.5,1.547,22.61,1.6425,53
0.959183673469388,1,146.48125,-43.52875,145.57625,-41.37125,2.123885592,0.499,4.107,18.5,1.38581,152,2.153307293,0.472,1.882,20.38,1.12104,229
0.851428571428571,1,146.48125,-43.52875,147.32125,-41.37125,2.123885592,0.499,4.107,18.5,1.38581,152,1.024060969,0.499,1.581,22.54,1.6425,53
0.895424836601307,1,146.48125,-43.52875,146.59375,-41.36625,2.123885592,0.499,4.107,18.5,1.38581,152,0.850470713,0.502,2.264,22.91,1.6425,53
0.740932642487047,1,146.48125,-43.52875,146.82625,-41.36625,2.123885592,0.499,4.107,18.5,1.38581,152,0.88753573,0.495,1.827,22.73,1.39813,158
0.504761904761905,1,146.48125,-43.52875,145.01375,-41.32875,2.123885592,0.499,4.107,18.5,1.38581,152,1.955440809,0.484,4.466,20.85,1.40607,167
0.87027027027027,1,146.48125,-43.52875,146.64875,-41.32375,2.123885592,0.499,4.107,18.5,1.38581,152,0.873985155,0.497,2.354,22.67,1.6425,53
0.911949685534591,1,146.48125,-43.52875,146.43875,-41.28625,2.123885592,0.499,4.107,18.5,1.38581,152,0.794571598,0.503,3.281,23.33,1.39813,158
0.727272727272727,1,146.48125,-43.52875,145.60875,-41.28125,2.123885592,0.499,4.107,18.5,1.38581,152,1.685671607,0.487,3.153,20.76,1.39813,158
0.89261744966443,1,146.48125,-43.52875,147.15375,-41.26375,2.123885592,0.499,4.107,18.5,1.38581,152,0.829821417,0.493,2.828,22.8,1.57333,81
0.883116883116883,1,146.48125,-43.52875,147.10875,-41.26125,2.123885592,0.499,4.107,18.5,1.38581,152,1.237440524,0.484,1.515,21.81,1.6425,53
0.787709497206704,1,146.48125,-43.52875,146.60625,-41.25875,2.123885592,0.499,4.107,18.5,1.38581,152,0.679403162,0.497,3.613,23.5,1.6425,53
0.83419689119171,1,146.48125,-43.52875,147.09125,-41.25875,2.123885592,0.499,4.107,18.5,1.38581,152,0.993518894,0.488,2.253,22.22,1.6425,53
