Observed,Predicted,Linked,Residual,Pearsons
1.000000,2.009814,0.865986,0.134014,0.393386
1.000000,2.211217,0.890433,0.109567,0.350784
0.956522,2.264556,0.896124,0.060398,0.197962
0.935484,2.068133,0.873578,0.061906,0.186281
0.820000,2.526306,0.920046,-0.100046,-0.368872
1.000000,2.163818,0.885114,0.114886,0.360274
0.555556,2.360653,0.905641,-0.350085,-1.197582
0.981132,2.204564,0.889701,0.091431,0.291867
0.897727,2.170818,0.885916,0.011811,0.037152
0.938144,1.786063,0.832381,0.105763,0.283146
0.856502,2.533327,0.920606,-0.064104,-0.237110
0.735849,2.314784,0.901212,-0.165363,-0.554211
0.822222,2.084866,0.875676,-0.053454,-0.162007
0.809524,2.834473,0.941251,-0.131727,-0.560169
0.823834,2.432501,0.912183,-0.088349,-0.312156
0.836735,2.517300,0.919323,-0.082588,-0.303254
0.890756,3.048956,0.952592,-0.061836,-0.290976
1.000000,3.027472,0.951562,0.048438,0.225618
1.000000,3.285311,0.962571,0.037429,0.197191
0.578475,0.921656,0.602140,-0.023665,-0.048350
0.769231,1.841655,0.841445,-0.072214,-0.197706
0.752809,1.774186,0.830379,-0.077570,-0.206687
0.590698,1.081339,0.660859,-0.070161,-0.148201
0.661202,0.996939,0.630993,0.030209,0.062606
0.478261,1.311061,0.730466,-0.252205,-0.568391
0.622951,1.245437,0.712185,-0.089234,-0.197095
0.870270,1.344932,0.739443,0.130827,0.298054
0.666667,1.287040,0.723913,-0.057246,-0.128050
0.594595,1.091405,0.664256,-0.069661,-0.147508
0.625000,1.088763,0.663367,-0.038367,-0.081190
0.483607,0.981994,0.625437,-0.141830,-0.293030
0.640212,1.253184,0.714406,-0.074194,-0.164256
0.908571,1.394783,0.752113,0.156458,0.362351
0.794872,1.168953,0.689308,0.105564,0.228110
0.495726,1.308672,0.729821,-0.234095,-0.527180
0.666667,1.173152,0.690610,-0.023943,-0.051797
0.669903,1.239031,0.710335,-0.040432,-0.089135
0.736842,1.193344,0.696794,0.040048,0.087128
0.885167,2.186168,0.887654,-0.002487,-0.007874
0.932039,2.772405,0.937489,-0.005450,-0.022511
0.830508,1.467225,0.769435,0.061073,0.144999
0.705263,1.426919,0.759953,-0.054690,-0.128045
