Class,X,Y,XTran,YTran,isothermality_2010_1kmTran,jan_rad_2010_1kmTran,mintempjuly_2010_1kmTran,precip_pet_ratio_2010_1kmTran
7,147.265000,-42.117500,0.379324,0.346434,0.996443,0.238133,0.274529,0.293422
7,147.385000,-42.117500,0.392479,0.346434,1.053756,0.412935,0.498843,-0.010374
7,147.505000,-42.117500,0.405635,0.346434,1.061247,0.398750,0.520494,0.006824
7,147.625000,-42.117500,0.418791,0.346434,1.024892,0.233193,0.467392,0.113570
7,147.745000,-42.117500,0.431947,0.346434,1.021142,0.256089,0.469005,0.172813
7,147.865000,-42.117500,0.445102,0.346434,1.020699,0.206654,0.501584,0.208432
7,147.985000,-42.117500,0.458258,0.346434,1.060130,0.215418,0.619933,0.078873
4,145.225000,-41.997500,0.155676,0.333279,1.021949,0.198933,0.739705,0.956586
4,145.345000,-41.997500,0.168832,0.333279,1.021216,0.152395,0.673273,1.327070
4,145.465000,-41.997500,0.181988,0.333279,1.029370,0.126185,0.646334,1.413059
4,145.585000,-41.997500,0.195143,0.333279,0.825293,0.050535,0.490884,1.676772
4,145.705000,-41.997500,0.208299,0.333279,1.021832,0.076496,0.582459,1.558078
4,145.825000,-41.997500,0.221455,0.333279,0.966143,0.059422,0.459345,1.618623
4,145.945000,-41.997500,0.234611,0.333279,0.873539,0.109984,0.344842,1.598913
4,146.065000,-41.997500,0.247766,0.333279,0.933437,0.130004,0.322015,1.472393
5,146.185000,-41.997500,0.260922,0.333279,0.662536,0.174189,0.127135,1.376929
4,146.305000,-41.997500,0.274078,0.333279,0.916282,0.201996,0.188738,1.038071
6,146.425000,-41.997500,0.287233,0.333279,0.995646,0.206347,0.226264,0.732123
6,146.545000,-41.997500,0.300389,0.333279,0.879281,0.204948,0.047943,0.747201
6,146.665000,-41.997500,0.313545,0.333279,0.915875,0.207970,0.042109,0.643711
6,146.785000,-41.997500,0.326701,0.333279,0.890876,0.218833,0.038251,0.599935
7,147.035000,-41.997500,0.354108,0.333279,1.023715,0.272767,0.321297,0.252032
7,147.155000,-41.997500,0.367264,0.333279,0.961630,0.223952,0.189635,0.421034
7,147.275000,-41.997500,0.380420,0.333279,1.048880,0.428539,0.467759,0.041147
7,147.395000,-41.997500,0.393576,0.333279,1.026191,0.260049,0.410569,0.120984
7,147.515000,-41.997500,0.406731,0.333279,1.065874,0.320097,0.504165,0.019501
7,147.635000,-41.997500,0.419887,0.333279,1.021079,0.241967,0.409363,0.221900
7,147.755000,-41.997500,0.433043,0.333279,1.016629,0.221747,0.413143,0.315153
7,147.875000,-41.997500,0.446199,0.333279,1.021137,0.213542,0.480065,0.249263
7,147.995000,-41.997500,0.459354,0.333279,1.066471,0.206958,0.612366,0.081608
7,148.115000,-41.997500,0.472510,0.333279,1.065874,0.227039,0.645938,0.125600
4,145.225000,-41.877500,0.155676,0.320123,0.787322,0.080259,0.599315,1.635458
4,145.345000,-41.877500,0.168832,0.320123,1.016797,0.148533,0.649974,1.410013
4,145.465000,-41.877500,0.181988,0.320123,0.934921,0.042633,0.572000,1.644802
4,145.585000,-41.877500,0.195143,0.320123,0.909665,0.082362,0.519300,1.652175
4,145.705000,-41.877500,0.208299,0.320123,0.970762,0.080778,0.512853,1.600804
4,145.825000,-41.877500,0.221455,0.320123,0.945645,0.115337,0.449388,1.571280
4,145.945000,-41.877500,0.234611,0.320123,0.931565,0.101773,0.390311,1.507670
4,146.065000,-41.877500,0.247766,0.320123,0.792763,0.151431,0.254261,1.479822
5,146.185000,-41.877500,0.260922,0.320123,0.754628,0.175686,0.174855,1.335977
5,146.305000,-41.877500,0.274078,0.320123,0.768360,0.199041,0.117095,1.115903
6,146.425000,-41.877500,0.287233,0.320123,0.763275,0.207082,0.052476,0.860316
6,146.545000,-41.877500,0.300389,0.320123,0.840995,0.206761,0.026661,0.875102
6,146.665000,-41.877500,0.313545,0.320123,0.847867,0.202911,-0.007314,0.837963
6,146.785000,-41.877500,0.326701,0.320123,0.912446,0.210661,0.049456,0.695889
6,146.905000,-41.877500,0.339856,0.320123,0.831805,0.216619,0.035241,0.712467
7,147.025000,-41.877500,0.353012,0.320123,1.021662,0.210072,0.325084,0.358953
7,147.145000,-41.877500,0.366168,0.320123,1.039352,0.326404,0.449699,0.134903
7,147.265000,-41.877500,0.379324,0.320123,1.044185,0.395496,0.485715,0.076463
